"","EmployeeID","recorddate_key","birthdate_key","orighiredate_key","terminationdate_key","age","length_of_service","city_name","department_name","job_title","store_name","gender_short","gender_full","termreason_desc","termtype_desc","STATUS_YEAR","STATUS","BUSINESS_UNIT"
"10",1318,"12/31/2015 0:00","1/3/1954","8/28/1989","1/1/1900",61,26,"Vancouver","Executive","CEO",35,"M","Male","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"20",1319,"12/31/2015 0:00","1/3/1957","8/28/1989","1/1/1900",58,26,"Vancouver","Executive","VP Stores",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"30",1320,"12/31/2015 0:00","1/2/1955","8/28/1989","1/1/1900",60,26,"Vancouver","Executive","Legal Counsel",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"40",1321,"12/31/2015 0:00","1/2/1959","8/28/1989","1/1/1900",56,26,"Vancouver","Executive","VP Human Resources",35,"M","Male","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"50",1322,"12/31/2015 0:00","1/9/1958","8/31/1989","1/1/1900",57,26,"Vancouver","Executive","VP Finance",35,"M","Male","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"60",1323,"12/31/2015 0:00","1/9/1962","8/31/1989","1/1/1900",53,26,"Vancouver","Executive","Exec Assistant, VP Stores",35,"M","Male","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"70",1325,"12/31/2015 0:00","1/13/1964","9/2/1989","1/1/1900",51,26,"Vancouver","Executive","Exec Assistant, Legal Counsel",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"80",1328,"12/31/2015 0:00","1/17/1956","9/5/1989","1/1/1900",59,26,"Vancouver","Executive","CHief Information Officer",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"90",1329,"12/31/2015 0:00","1/23/1967","9/8/1989","1/1/1900",48,26,"Terrace","Store Management","Store Manager",32,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","STORES"
"100",1330,"12/31/2015 0:00","1/25/1967","9/9/1989","1/1/1900",48,26,"Terrace","Meats","Meats Manager",32,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","STORES"
"110",1331,"12/31/2015 0:00","1/28/1965","9/10/1989","1/1/1900",50,26,"Nanaimo","Store Management","Store Manager",18,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","STORES"
"120",1332,"12/31/2015 0:00","2/5/1955","9/15/1989","1/1/1900",60,26,"Vancouver","Executive","Exec Assistant, Human Resources",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"130",1334,"12/31/2015 0:00","2/6/1961","9/15/1989","1/1/1900",54,26,"Vancouver","Executive","Exec Assistant, Finance",35,"M","Male","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"140",1335,"12/31/2015 0:00","2/7/1962","9/16/1989","1/1/1900",53,26,"Vancouver","Recruitment","Director, Recruitment",35,"F","Female","Not Applicable","Not Applicable",2015,"ACTIVE","HEADOFFICE"
"48169",1338,"2/1/2009 0:00","2/16/1949","9/20/1989","2/16/2009",60,19,"Vancouver","Training","Director, Training",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48170",1339,"2/1/2014 0:00","2/19/1949","9/22/1989","2/19/2014",65,24,"Nelson","Store Management","Store Manager",19,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48171",1340,"2/1/2009 0:00","2/19/1949","9/22/1989","2/19/2009",60,19,"Kelowna","Store Management","Store Manager",16,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48172",1341,"2/1/2009 0:00","2/21/1949","9/23/1989","2/21/2009",60,19,"Vancouver","Labor Relations","Director, Labor Relations",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48173",1343,"2/1/2014 0:00","2/24/1949","9/25/1989","2/24/2014",65,24,"Victoria","Store Management","Store Manager",37,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48174",1344,"2/1/2014 0:00","2/25/1949","9/25/1989","2/25/2014",65,24,"Vancouver","HR Technology","Director, HR Technology",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48175",1346,"3/1/2014 0:00","3/4/1949","9/29/1989","3/4/2014",65,24,"Vancouver","Employee Records","Director, Employee Records",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48176",1347,"3/1/2009 0:00","3/4/1949","9/29/1989","3/4/2009",60,19,"Victoria","Meats","Meats Manager",37,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48177",1351,"3/1/2009 0:00","3/9/1949","10/2/1989","3/9/2009",60,19,"Vancouver","Compensation","Director, Compensation",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48178",1352,"3/1/2014 0:00","3/11/1949","10/3/1989","3/11/2014",65,24,"Vancouver","Legal","Corporate Lawyer",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48179",1353,"3/1/2009 0:00","3/13/1949","10/4/1989","3/13/2009",60,19,"Kamloops","Store Management","Store Manager",15,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48180",1355,"3/1/2009 0:00","3/15/1949","10/5/1989","3/15/2009",60,19,"Vancouver","Legal","Corporate Lawyer",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48181",1357,"3/1/2009 0:00","3/14/1949","10/5/1989","3/14/2009",60,19,"Vancouver","Legal","Corporate Lawyer",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48182",1358,"3/1/2009 0:00","3/14/1949","10/5/1989","3/14/2009",60,19,"Victoria","Produce","Produce Manager",37,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48183",1359,"3/1/2014 0:00","3/16/1949","10/6/1989","3/16/2014",65,24,"Nanaimo","Meats","Meats Manager",18,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48184",1360,"3/1/2014 0:00","3/17/1949","10/6/1989","3/17/2014",65,24,"Vancouver","Accounts Receiveable","Director, Accounts Receivable",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48185",1362,"3/1/2014 0:00","3/18/1949","10/7/1989","3/18/2014",65,24,"Kamloops","Meats","Meats Manager",15,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48186",1363,"3/1/2009 0:00","3/20/1949","10/8/1989","3/20/2009",60,19,"Victoria","Bakery","Bakery Manager",37,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48187",1365,"9/1/2012 0:00","3/24/1949","10/10/1989","9/26/2012",63,22,"Fort St John","Store Management","Store Manager",12,"F","Female","Resignaton","Voluntary",2012,"TERMINATED","STORES"
"48188",1366,"3/1/2009 0:00","3/26/1949","10/11/1989","3/26/2009",60,19,"Vancouver","Information Technology","Systems Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48189",1367,"3/1/2009 0:00","3/27/1949","10/11/1989","3/27/2009",60,19,"Surrey","Store Management","Store Manager",31,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48190",1370,"4/1/2014 0:00","4/1/1949","10/14/1989","4/1/2014",65,24,"Vancouver","Accounts Payable","Director, Accounts Payable",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48191",1372,"4/1/2009 0:00","4/5/1949","10/16/1989","4/5/2009",60,19,"Vancouver","Audit","Director, Audit",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48192",1373,"4/1/2014 0:00","4/4/1949","10/16/1989","4/4/2014",65,24,"Vancouver","Accounting","Director, Accounting",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48193",1374,"4/1/2009 0:00","4/6/1949","10/17/1989","4/6/2009",60,19,"Kelowna","Meats","Meats Manager",16,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48194",1376,"4/1/2009 0:00","4/11/1949","10/19/1989","4/11/2009",60,19,"Vancouver","Investment","Director, Investments",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48195",1377,"4/1/2014 0:00","4/15/1949","10/22/1989","4/15/2014",65,24,"Victoria","Dairy","Dairy Person",37,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48196",1380,"4/1/2014 0:00","4/15/1949","10/22/1989","4/15/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48197",1381,"4/1/2014 0:00","4/17/1949","10/23/1989","4/17/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48198",1382,"4/1/2014 0:00","4/20/1949","10/24/1989","4/20/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48199",1383,"4/1/2009 0:00","4/20/1949","10/24/1989","4/20/2009",60,19,"Vernon","Store Management","Store Manager",36,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48200",1385,"4/1/2009 0:00","4/23/1949","10/26/1989","4/23/2009",60,19,"Vancouver","Recruitment","Recruiter",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48201",1386,"4/1/2009 0:00","4/30/1949","10/29/1989","4/30/2009",60,19,"Victoria","Processed Foods","Processed Foods Manager",37,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48202",1388,"5/1/2009 0:00","5/6/1949","11/2/1989","5/6/2009",60,19,"Nanaimo","Produce","Produce Manager",18,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48203",1389,"5/1/2009 0:00","5/6/1949","11/2/1989","5/6/2009",60,19,"Quesnel","Store Management","Store Manager",28,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48204",1390,"5/1/2014 0:00","5/7/1949","11/2/1989","5/7/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48205",1391,"5/1/2009 0:00","5/7/1949","11/2/1989","5/7/2009",60,19,"Chilliwack","Store Management","Store Manager",6,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48206",1392,"5/1/2009 0:00","5/8/1949","11/3/1989","5/8/2009",60,19,"Vancouver","Recruitment","Recruiter",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48207",1394,"5/1/2014 0:00","5/10/1949","11/4/1989","5/10/2014",65,24,"Victoria","Customer Service","Customer Service Manager",37,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48208",1395,"5/1/2014 0:00","5/11/1949","11/4/1989","5/11/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48209",1396,"5/1/2009 0:00","5/10/1949","11/4/1989","5/10/2009",60,19,"Vernon","Meats","Meats Manager",36,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48210",1397,"5/1/2014 0:00","5/11/1949","11/4/1989","5/11/2014",65,24,"Quesnel","Meats","Meats Manager",28,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48211",1399,"5/1/2014 0:00","5/17/1949","11/7/1989","5/17/2014",65,24,"Terrace","Produce","Produce Manager",32,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48212",1400,"5/1/2014 0:00","5/16/1949","11/7/1989","5/16/2014",65,24,"Vancouver","Recruitment","Recruiter",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48213",1401,"12/1/2014 0:00","5/18/1949","11/8/1989","12/30/2014",65,25,"Dawson Creek","Store Management","Store Manager",9,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48214",1402,"5/1/2014 0:00","5/20/1949","11/9/1989","5/20/2014",65,24,"Vancouver","Training","Trainer",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48215",1403,"5/1/2009 0:00","5/28/1949","11/13/1989","5/28/2009",60,19,"Kelowna","Produce","Produce Manager",16,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48216",1404,"5/1/2014 0:00","5/27/1949","11/13/1989","5/27/2014",65,24,"Vancouver","Training","Trainer",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48217",1405,"5/1/2009 0:00","5/31/1949","11/15/1989","5/31/2009",60,19,"Vancouver","Training","Trainer",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48218",1406,"6/1/2009 0:00","6/2/1949","11/16/1989","6/2/2009",60,19,"Vancouver","Training","Trainer",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48219",1408,"6/1/2014 0:00","6/12/1949","11/21/1989","6/12/2014",65,24,"Nanaimo","Bakery","Bakery Manager",18,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48220",1409,"6/1/2009 0:00","6/12/1949","11/21/1989","6/12/2009",60,19,"Vancouver","Information Technology","Systems Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48221",1411,"12/1/2014 0:00","6/13/1949","11/22/1989","12/30/2014",65,25,"Dawson Creek","Meats","Meat Cutter",9,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48222",1412,"6/1/2009 0:00","6/16/1949","11/23/1989","6/16/2009",60,19,"Vancouver","Information Technology","Systems Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48223",1413,"6/1/2009 0:00","6/16/1949","11/23/1989","6/16/2009",60,19,"Vancouver","Information Technology","Systems Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48224",1414,"6/1/2009 0:00","6/18/1949","11/24/1989","6/18/2009",60,19,"Vancouver","Information Technology","Systems Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48225",1417,"6/1/2014 0:00","6/30/1949","12/1/1989","6/30/2014",65,24,"Squamish","Store Management","Store Manager",30,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48226",1419,"7/1/2014 0:00","7/5/1949","12/3/1989","7/5/2014",65,24,"New Westminster","Store Management","Store Manager",21,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48227",1421,"7/1/2009 0:00","7/12/1949","12/7/1989","7/12/2009",60,19,"Victoria","Store Management","Store Manager",46,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48228",1422,"7/1/2009 0:00","7/18/1949","12/10/1989","7/18/2009",60,19,"Vancouver","Dairy","Dairy Person",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48229",1425,"7/1/2009 0:00","7/20/1949","12/11/1989","7/20/2009",60,19,"Vancouver","Dairy","Dairy Person",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48230",1427,"7/1/2014 0:00","7/30/1949","12/16/1989","7/30/2014",65,24,"Surrey","Meats","Meats Manager",31,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48231",1428,"8/1/2009 0:00","8/1/1949","12/18/1989","8/1/2009",60,19,"Victoria","Meats","Meats Manager",46,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48232",1430,"8/1/2009 0:00","8/1/1949","12/18/1989","8/1/2009",60,19,"Vancouver","Dairy","Dairy Person",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48233",1431,"8/1/2009 0:00","8/4/1949","12/19/1989","8/4/2009",60,19,"Victoria","Produce","Produce Manager",46,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48234",1433,"8/1/2014 0:00","8/10/1949","12/22/1989","8/10/2014",65,24,"Victoria","Bakery","Bakery Manager",46,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48235",1434,"8/1/2009 0:00","8/14/1949","12/24/1989","8/14/2009",60,19,"Kamloops","Produce","Produce Manager",15,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48236",1435,"8/1/2009 0:00","8/15/1949","12/25/1989","8/15/2009",60,19,"Port Coquitlam","Store Management","Store Manager",25,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48237",1436,"8/1/2014 0:00","8/18/1949","12/27/1989","8/18/2014",65,24,"Terrace","Bakery","Bakery Manager",32,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48238",1438,"12/1/2009 0:00","8/23/1949","12/29/1989","12/30/2009",60,20,"Cortes Island","Dairy","Dairy Person",7,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48239",1439,"8/1/2009 0:00","8/27/1949","12/31/1989","8/27/2009",60,19,"Burnaby","Store Management","Store Manager",5,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48240",1440,"8/1/2009 0:00","8/26/1949","12/31/1989","8/26/2009",60,19,"Victoria","Dairy","Dairy Person",46,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48241",1441,"8/1/2014 0:00","8/29/1949","1/1/1990","8/29/2014",65,24,"Vancouver","Labor Relations","Labor Relations Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48242",1442,"8/1/2014 0:00","8/29/1949","1/1/1990","8/29/2014",65,24,"Surrey","Produce","Produce Manager",31,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48243",1444,"9/1/2014 0:00","9/3/1949","1/4/1990","9/3/2014",65,24,"Kelowna","Bakery","Bakery Manager",16,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48244",1445,"9/1/2009 0:00","9/4/1949","1/4/1990","9/4/2009",60,19,"Vernon","Produce","Produce Manager",36,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48245",1446,"9/1/2014 0:00","9/5/1949","1/5/1990","9/5/2014",65,24,"Vernon","Bakery","Bakery Manager",36,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48246",1447,"9/1/2009 0:00","9/5/1949","1/5/1990","9/5/2009",60,19,"Vancouver","Labor Relations","Labor Relations Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48247",1448,"9/1/2009 0:00","9/6/1949","1/6/1990","9/6/2009",60,19,"Vancouver","Labor Relations","Labor Relations Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48248",1449,"9/1/2014 0:00","9/14/1949","1/10/1990","9/14/2014",65,24,"Squamish","Meats","Meats Manager",30,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48249",1453,"10/1/2009 0:00","10/1/1949","1/19/1990","10/1/2009",60,19,"Kelowna","Dairy","Dairy Person",16,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48250",1456,"10/1/2014 0:00","10/4/1949","1/20/1990","10/4/2014",65,24,"Nanaimo","Dairy","Dairy Manager",18,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48251",1458,"10/1/2009 0:00","10/11/1949","1/24/1990","10/11/2009",60,19,"Vancouver","Labor Relations","Labor Relations Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48252",1460,"10/1/2009 0:00","10/12/1949","1/25/1990","10/12/2009",60,19,"Kamloops","Dairy","Dairy Person",15,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48253",1461,"10/1/2014 0:00","10/12/1949","1/25/1990","10/12/2014",65,24,"Vancouver","Labor Relations","Labor Relations Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48254",1463,"10/1/2014 0:00","10/15/1949","1/26/1990","10/15/2014",65,24,"Vancouver","HR Technology","HRIS Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
"48255",1465,"10/1/2014 0:00","10/16/1949","1/27/1990","10/16/2014",65,24,"Kelowna","Processed Foods","Processed Foods Manager",16,"F","Female","Retirement","Voluntary",2014,"TERMINATED","STORES"
"48256",1466,"10/1/2009 0:00","10/18/1949","1/28/1990","10/18/2009",60,19,"Kamloops","Bakery","Bakery Manager",15,"M","Male","Retirement","Voluntary",2009,"TERMINATED","STORES"
"48257",1469,"10/1/2009 0:00","10/20/1949","1/29/1990","10/20/2009",60,19,"Vancouver","HR Technology","HRIS Analyst",35,"M","Male","Retirement","Voluntary",2009,"TERMINATED","HEADOFFICE"
"48258",1470,"10/1/2014 0:00","10/23/1949","1/30/1990","10/23/2014",65,24,"Vancouver","HR Technology","HRIS Analyst",35,"F","Female","Retirement","Voluntary",2014,"TERMINATED","HEADOFFICE"
