"","EmployeeID","age","length_of_service","gender_short","termtype_desc","length_categ","emp_categ","age_dec","EStatus","ESY"
"10",1318,61,26,"M","Not Applicable","C","Exec","60s",0,9
"20",1319,58,26,"F","Not Applicable","C","Exec","50s",0,9
"30",1320,60,26,"F","Not Applicable","C","Exec","60s",0,9
"40",1321,56,26,"M","Not Applicable","C","Exec","50s",0,9
"50",1322,57,26,"M","Not Applicable","C","Exec","50s",0,9
"60",1323,53,26,"M","Not Applicable","C","Exec","50s",0,9
"70",1325,51,26,"F","Not Applicable","C","Exec","50s",0,9
"80",1328,59,26,"F","Not Applicable","C","Exec","50s",0,9
"90",1329,48,26,"F","Not Applicable","C","Management","40s",0,9
"100",1330,48,26,"F","Not Applicable","C","Management","40s",0,9
"110",1331,50,26,"F","Not Applicable","C","Management","50s",0,9
"120",1332,60,26,"F","Not Applicable","C","Worker","60s",0,9
"130",1334,54,26,"M","Not Applicable","C","Worker","50s",0,9
"140",1335,53,26,"F","Not Applicable","C","Management","50s",0,9
"48169",1338,60,19,"M","Voluntary","C","Management","60s",1,3
"48170",1339,65,24,"F","Voluntary","C","Management","60s",1,8
"48171",1340,60,19,"M","Voluntary","C","Management","60s",1,3
"48172",1341,60,19,"M","Voluntary","C","Management","60s",1,3
"48173",1343,65,24,"F","Voluntary","C","Management","60s",1,8
"48174",1344,65,24,"F","Voluntary","C","Management","60s",1,8
"48175",1346,65,24,"F","Voluntary","C","Management","60s",1,8
"48176",1347,60,19,"M","Voluntary","C","Management","60s",1,3
"48177",1351,60,19,"M","Voluntary","C","Management","60s",1,3
"48178",1352,65,24,"F","Voluntary","C","Worker","60s",1,8
"48179",1353,60,19,"M","Voluntary","C","Management","60s",1,3
"48180",1355,60,19,"M","Voluntary","C","Worker","60s",1,3
"48181",1357,60,19,"M","Voluntary","C","Worker","60s",1,3
"48182",1358,60,19,"M","Voluntary","C","Management","60s",1,3
"48183",1359,65,24,"F","Voluntary","C","Management","60s",1,8
"48184",1360,65,24,"F","Voluntary","C","Management","60s",1,8
"48185",1362,65,24,"F","Voluntary","C","Management","60s",1,8
"48186",1363,60,19,"M","Voluntary","C","Management","60s",1,3
"48187",1365,63,22,"F","Voluntary","C","Management","60s",1,6
"48188",1366,60,19,"M","Voluntary","C","Worker","60s",1,3
"48189",1367,60,19,"M","Voluntary","C","Management","60s",1,3
"48190",1370,65,24,"F","Voluntary","C","Management","60s",1,8
"48191",1372,60,19,"M","Voluntary","C","Management","60s",1,3
"48192",1373,65,24,"F","Voluntary","C","Management","60s",1,8
"48193",1374,60,19,"M","Voluntary","C","Management","60s",1,3
"48194",1376,60,19,"M","Voluntary","C","Management","60s",1,3
"48195",1377,65,24,"F","Voluntary","C","Worker","60s",1,8
"48196",1380,65,24,"F","Voluntary","C","Worker","60s",1,8
"48197",1381,65,24,"F","Voluntary","C","Worker","60s",1,8
"48198",1382,65,24,"F","Voluntary","C","Worker","60s",1,8
"48199",1383,60,19,"M","Voluntary","C","Management","60s",1,3
"48200",1385,60,19,"M","Voluntary","C","Worker","60s",1,3
"48201",1386,60,19,"M","Voluntary","C","Management","60s",1,3
"48202",1388,60,19,"M","Voluntary","C","Management","60s",1,3
"48203",1389,60,19,"M","Voluntary","C","Management","60s",1,3
"48204",1390,65,24,"F","Voluntary","C","Worker","60s",1,8
"48205",1391,60,19,"M","Voluntary","C","Management","60s",1,3
"48206",1392,60,19,"M","Voluntary","C","Worker","60s",1,3
"48207",1394,65,24,"F","Voluntary","C","Management","60s",1,8
"48208",1395,65,24,"F","Voluntary","C","Worker","60s",1,8
